task,run,model,rmse,time,soft_wall_index,metadata
chaotic,7,Huber Regression,0.6009983167731818,0.0021469593048095703,0.0,"{'outliers': array([False, False,  True,  True,  True, False, False, False, False,         True, False, False, False, False,  True,  True,  True, False,        False, False, False, False, False, False, False, False,  True,        False, False, False, False,  True,  True,  True, False,  True,        False, False, False, False])}"
chaotic,7,Gaussian Process,0.5891905921716375,1.143251895904541,0.5884509358487767,"{'uncertainty': array([0.1402104 , 0.15359244, 0.33423356, 0.42047224, 0.62307831,        0.70363571, 0.83980238, 0.85753659, 0.90331475, 0.90863297])}"
chaotic,7,Epistemic Director,0.7253431837119683,11.692687273025513,0.0,{'formula': '(cos(sin(-4.71)) * sin(((cos(x) - cos((-4.89 * (cos(x) - (-8.56 + 6.91))))) + (cos(-6.69) * x))))'}
chaotic,8,Standard GP,0.14953719891597736,0.11756205558776855,0.0,{'formula': 'sin((x * x))'}
chaotic,8,Huber Regression,0.9237996947394516,0.0019807815551757812,0.0,"{'outliers': array([False, False, False,  True,  True, False, False,  True,  True,         True, False, False, False,  True, False, False, False, False,        False, False, False, False, False, False, False, False, False,        False, False, False, False, False,  True,  True,  True, False,         True, False, False, False])}"
chaotic,8,Gaussian Process,0.9167866384936563,0.8442368507385254,0.6960127375440198,"{'uncertainty': array([0.27925614, 0.62793648, 0.69641705, 0.70810107, 0.75195056,        0.75954537, 0.76931077, 0.78184387, 0.79285581, 0.79291025])}"
chaotic,8,Epistemic Director,0.1900971880958354,1.47255539894104,0.0,{'formula': 'sin(sin((x * x)))'}
chaotic,9,Standard GP,0.3928754503759987,0.09965252876281738,0.0,"{'formula': 'cos(hypot((-4.91 * tanh(-3.51)), (hypot(x, 3.31) * x)))'}"
chaotic,9,Huber Regression,0.7956695485625385,0.002290487289428711,0.0,"{'outliers': array([False,  True,  True, False,  True, False, False,  True, False,         True,  True, False,  True,  True,  True, False, False, False,        False, False,  True, False, False, False, False, False, False,        False, False, False, False, False, False, False, False, False,        False,  True,  True,  True])}"
chaotic,9,Gaussian Process,0.725062981193268,1.2342214584350586,0.7087224326975727,"{'uncertainty': array([0.34394024, 0.57418228, 0.77076357, 0.77119118, 0.77119118,        0.77119118, 0.77119118, 0.77119118, 0.77119118, 0.77119118])}"
chaotic,9,Epistemic Director,0.7017681947565716,1.7237529754638672,0.0,"{'formula': 'tanh(sin(sin((hypot(hypot((x - 2.72), cos(x)), x) + tanh(x)))))'}"
adversarial,0,Standard GP,1.1716780132225413,0.1306147575378418,0.0,"{'formula': '(0.56 * cos((cos((abs(sin((x + (7.24 - sin(-6.59))))) - hypot(x, x))) - abs((-0.25 + x)))))'}"
adversarial,0,Huber Regression,0.7054701714919578,0.002327442169189453,0.0,"{'outliers': array([False, False, False, False,  True, False, False,  True, False,         True, False, False, False, False,  True,  True, False, False,        False,  True, False, False,  True,  True, False,  True, False,        False, False, False, False,  True, False,  True,  True, False,        False, False, False,  True])}"
adversarial,0,Gaussian Process,0.8290552303453305,0.8902654647827148,0.9905145078901555,"{'uncertainty': array([0.98375508, 0.9888407 , 0.99022816, 0.9911133 , 0.99168706,        0.99188167, 0.99190857, 0.99190891, 0.99191068, 0.99191095])}"
adversarial,0,Epistemic Director,0.8077771270712176,2.659141778945923,0.0,"{'formula': 'sin(((hypot(10.40, (x - sin(hypot((x + x), x)))) + 0.82) + cos(cos(x))))'}"
adversarial,1,Standard GP,0.945305761218368,0.13120555877685547,0.0,"{'formula': '(sin(cos(x)) * sin(tanh(sin((hypot((x * -0.52), (x * x)) * x)))))'}"
adversarial,1,Huber Regression,0.9660408429293675,0.0018055438995361328,0.0,"{'outliers': array([False,  True,  True, False,  True,  True, False, False, False,         True, False, False, False, False,  True, False, False,  True,        False, False,  True, False, False, False, False, False, False,        False, False, False,  True, False, False, False, False, False,        False, False,  True, False])}"
adversarial,1,Gaussian Process,0.9305654656776289,0.827749490737915,1.0274364574677937,"{'uncertainty': array([1.02743646, 1.02743646, 1.02743646, 1.02743646, 1.02743646,        1.02743646, 1.02743646, 1.02743646, 1.02743646, 1.02743646])}"
adversarial,1,Epistemic Director,0.9305654656776289,1.4032812118530273,0.0,"{'formula': '(tanh(-0.01) * tanh(sin(hypot(x, x))))'}"
adversarial,2,Standard GP,0.9744036017270412,0.09183669090270996,0.0,"{'formula': 'sin(hypot((((cos((7.53 * x)) + hypot((3.27 + x), 7.18)) - ((abs(-3.43) + (x - x)) * ((x * x) * (x - x)))) - sin(-2.88)), (x + x)))'}"
adversarial,2,Huber Regression,1.246777174539505,0.0021409988403320312,0.0,"{'outliers': array([False,  True, False, False, False,  True, False,  True, False,        False, False,  True,  True,  True,  True,  True, False, False,        False, False,  True, False, False, False,  True, False, False,        False, False,  True, False, False,  True, False, False,  True,         True, False, False,  True])}"
adversarial,2,Gaussian Process,0.9790401234733371,0.7232010364532471,1.097289442875735,"{'uncertainty': array([1.02782988, 1.04406485, 1.0560285 , 1.05626353, 1.05748577,        1.12498459, 1.13860489, 1.14995616, 1.15200074, 1.16567553])}"
adversarial,2,Epistemic Director,0.8505597164733802,2.674722194671631,0.0,"{'formula': 'sin((hypot(tanh(sin(x)), x) + sin(x)))'}"
adversarial,3,Standard GP,0.8670199349429174,0.11840415000915527,0.0,{'formula': 'tanh((tanh((sin((x * (abs(x) * ((x * 3.21) + tanh(x))))) + x)) - cos((x * 8.46))))'}
